code,title,recommended_period,nature,total_hours,department_evidence,ficha1_status,ficha1_path,ficha1_sha256,applicability_2023,ficha2_status,evidence_status,gaps_or_conflicts,formal_basis
BA040,Anatomia Humana Sistêmica,1,obrigatória,60,não localizado,não localizado,,,indeterminado,não localizado,estrutura comprovada,Ficha 1/Ficha 2 pública não localizada,Resolução 75/22-CEPE Anexo I
CI1003,Introdução à Ciência da Computação,1,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1003/ficha-1.pdf,50a65e1bfe4986f1e5ba39d9a36e1bec0ce8caf6c860df37ff5cfa99e748e91d,indeterminado,indeterminado,versão pré-reforma localizada,Ficha sem data de assinatura extraída; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1055,Algoritmos e Estruturas de Dados 1,1,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1055/ficha-1.pdf,2b08392604d4cfb41fbebef1d32ceb41372a8b7491fded4e593356735fcb5cca,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2019; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1068,Circuitos Digitais,1,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1068/ficha-1.pdf,084b876afffa82653a57836954458667f8ec07831db55f5d752749c4392ab8f6,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2018; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CM310,Pré-Cálculo,1,obrigatória,60,não localizado,não localizado,,,indeterminado,não localizado,estrutura comprovada,Ficha 1/Ficha 2 pública não localizada,Resolução 75/22-CEPE Anexo I
MN162,Organização do Sistema de Saúde Brasileiro,1,obrigatória,60,Departamento de Enfermagem via Resolução 77/22,localizada,curriculos/2023/fichas/outros-departamentos/MN162-ficha-1.pdf,cfcb6de27917d0edb92c0b5f10093aafcd4843b079e30abf53d912ab3f705135,contraditório,não localizado,criação 2022 comprovada,Ficha assinada em 2019 antecede criação formal do código em Resolução 77/22; aplicabilidade não estabelecida,Resoluções 75/22 e 77/22-CEPE
BQ112,Introdução a Bioquímica,2,obrigatória,60,Departamento de Bioquímica e Biologia Molecular via Resolução 76/22,não localizado,,,não aplicável como pré-reforma,não localizado,criação 2022 comprovada,Ficha 1/Ficha 2 pública não localizada,Resoluções 75/22 e 76/22-CEPE
CI1001,Programação 1,2,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1001/ficha-1.pdf,de98f9b0340f8243d9f8f1f8eb9f0ef76a63ced54fd2088f915709281fa4dbb8,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2019; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CI1056,Algoritmos e Estrutura de Dados 2,2,obrigatória,60,DInf via Ficha 1,localizada,curriculos/2023/fichas/dinf/CI1056/ficha-1.pdf,20bc2234d68d3c913eb61f9a3bb09d4f90ee22beae707b94ff04d9c20f943899,indeterminado,indeterminado,versão pré-reforma localizada,Ficha assinada em 2019; ato de continuidade não localizado,Resolução 75/22-CEPE Anexo I
CM304,Complementos de Matemática,2,obrigatória,60,não localizado,não localizado,,,indeterminado,não localizado,estrutura comprovada,Ficha 1/Ficha 2 pública não localizada,Resolução 75/22-CEPE Anexo I
