gap_id,gap_type,origin_path,origin_id,target,status,recorded_result,gate_consequence,accessed_at,domains_or_custodian,original_record
HR-W009-001,institutional_access,governance/human-reviews/W009-p1-curriculum-2011.md,HR-W009-001,no Ficha 1 proven applicable to the 2011 curriculum and no term/class-specific Ficha 2 was located on the authorized public surface.,pending human access decision.,no Ficha 1 proven applicable to the 2011 curriculum and no term/class-specific Ficha 2 was located on the authorized public surface.,not blocking for W009's bounded public-source inventory if every target retains an explicit negative-search/applicability status; material limitation for P2 baseline and any P3 content comparison.,,,"## HR-W009-001 — Access to historical Ficha archives

- **Related gap:** no Ficha 1 proven applicable to the 2011 curriculum and no term/class-specific Ficha 2 was located on the authorized public surface.
- **Why agent work is insufficient:** likely custodians include authenticated SIGA/SEI, departments, course coordination, and non-indexed archives. Public negative searches cannot establish nonexistence.
- **Human action/question:** can an authorized person request from the course coordination, DInf, offering departments, or UFPR archives the approved Ficha 1 version applicable to each 2011 code and Ficha 2 records identified by year/term/class?
- **Required response provenance:** identify requester/custodian, request and response dates, exact files supplied, stated validity period, and whether disclosure restrictions apply.
- **Gate consequence:** not blocking for W009's bounded public-source inventory if every target retains an explicit negative-search/applicability status; material limitation for P2 baseline and any P3 content comparison.
- **Status:** pending human access decision."
HR-W009-002,institutional_access,governance/human-reviews/W009-p1-curriculum-2011.md,HR-W009-002,offering units in W009 come from a current Ementário representation with no explicit historical version date.,pending human access decision.,offering units in W009 come from a current Ementário representation with no explicit historical version date.,not blocking if units remain explicitly provisional; blocks treating them as proven historical facts in P2/P3.,,,"## HR-W009-002 — Institutional confirmation of offering units

- **Related gap:** offering units in W009 come from a current Ementário representation with no explicit historical version date.
- **Why agent work is insufficient:** code/title continuity and a current portal do not independently establish the department responsible in 2011.
- **Human action/question:** can UFPR provide a dated 2011 departmental allocation, historical curriculum record, or signed act confirming the offering unit for each component?
- **Required response provenance:** preserve the original record and custodian statement separately.
- **Gate consequence:** not blocking if units remain explicitly provisional; blocks treating them as proven historical facts in P2/P3.
- **Status:** pending human access decision."
HR-W010-001,institutional_access,governance/human-reviews/W010-p1-curriculum-2023.md,HR-W010-001,many 2023 components lack a publicly located Ficha 1 whose version is demonstrably applicable; several preserved Fichas predate the reform.,pending human access decision.,many 2023 components lack a publicly located Ficha 1 whose version is demonstrably applicable; several preserved Fichas predate the reform.,"public-source statuses can remain indeterminate, but missing applicable Fichas materially limit P2 reconciliation and P3 content comparison.",,,"## HR-W010-001 — Current/applicable Ficha 1 access

- **Related gap:** many 2023 components lack a publicly located Ficha 1 whose version is demonstrably applicable; several preserved Fichas predate the reform.
- **Why agent work is insufficient:** public code/title matches do not prove applicability, and approved departmental versions may be in internal systems.
- **Human action/question:** can an authorized UFPR custodian provide the approved Ficha 1 for each 2023 component with approval date, department, and validity/applicability statement?
- **Required response provenance:** original bytes, custodian, request/response date, stated version/validity, and disclosure limits.
- **Gate consequence:** public-source statuses can remain indeterminate, but missing applicable Fichas materially limit P2 reconciliation and P3 content comparison.
- **Status:** pending human access decision."
HR-W010-002,institutional_access,governance/human-reviews/W010-p1-curriculum-2023.md,HR-W010-002,no complete public set of 2023-2026 Ficha 2 documents identified by term and class.,pending human access decision.,no complete public set of 2023-2026 Ficha 2 documents identified by term and class.,not proof of nonexistence and not necessarily blocking the formal 2023 matrix; material limitation for program-level P3 comparison.,,,"## HR-W010-002 — Term/class-specific Ficha 2 access for 2023-2026

- **Related gap:** no complete public set of 2023-2026 Ficha 2 documents identified by term and class.
- **Why agent work is insufficient:** plans may exist only in authenticated teaching/departmental repositories.
- **Human action/question:** can authorized course/department staff export Ficha 2 records with code, class, term, instructor, approval/status, and original file for prioritized offerings?
- **Required response provenance:** keep every version separate and record term/class; do not synthesize plans.
- **Gate consequence:** not proof of nonexistence and not necessarily blocking the formal 2023 matrix; material limitation for program-level P3 comparison.
- **Status:** pending human access decision."
HR-W010-003,institutional_access,governance/human-reviews/W010-p1-curriculum-2023.md,HR-W010-003,"the relationship between the resolution/PPC and the portal representation is stale or uncertain, and W010 initially preserved the wrong page for the claim.",pending human clarification; not a substitute for the agent correction.,"the relationship between the resolution/PPC and the portal representation is stale or uncertain, and W010 initially preserved the wrong page for the claim.",agent must first correct provenance; human confirmation remains a P2 reconciliation input.,,,"## HR-W010-003 — Authoritative status of Portal do Ementário

- **Related gap:** the relationship between the resolution/PPC and the portal representation is stale or uncertain, and W010 initially preserved the wrong page for the claim.
- **Why agent work is insufficient:** only the responsible UFPR unit can confirm whether a portal record is archival, current, superseded, or a publication defect.
- **Human action/question:** which curriculum/version does Ementário record `v=1225` officially represent, and what is the administrative explanation for any 3,000/3,200-hour divergence?
- **Required response provenance:** dated response from the responsible unit plus the exact captured portal response.
- **Gate consequence:** agent must first correct provenance; human confirmation remains a P2 reconciliation input.
- **Status:** pending human clarification; not a substitute for the agent correction."
HR-W011-001,institutional_access,governance/human-reviews/W011-p1-admin-procedure.md,HR-W011-001,"Apêndice A, forwarding memorandum, SEI identifier, NDE/Colegiado/Setor decisions, PROGRAP/PROPLAD result, UFPR submission, MEC decision, proposed matrix/PPC/equivalences, and staffing guarantees remain publicly not located.",pending human access decision.,"Apêndice A, forwarding memorandum, SEI identifier, NDE/Colegiado/Setor decisions, PROGRAP/PROPLAD result, UFPR submission, MEC decision, proposed matrix/PPC/equivalences, and staffing guarantees remain publicly not located.",bounded public-history rows may remain `not located`; later claims of selected/approved/authorized/implemented remain blocked until the corresponding act is preserved.,,,"## HR-W011-001 — Protected/internal 2026 process record

- **Related gap:** Apêndice A, forwarding memorandum, SEI identifier, NDE/Colegiado/Setor decisions, PROGRAP/PROPLAD result, UFPR submission, MEC decision, proposed matrix/PPC/equivalences, and staffing guarantees remain publicly not located.
- **Why agent work is insufficient:** these documents may be restricted, internal, unindexed, or not public; absence from search proves none of the later administrative states.
- **Human action/question:** can an authorized participant or custodian provide the SEI process identifier and export the non-restricted original records, with explicit disclosure status for restricted items?
- **Required response provenance:** custodian, access authority, export date, original filenames/metadata, process linkage, and any redaction basis.
- **Gate consequence:** bounded public-history rows may remain `not located`; later claims of selected/approved/authorized/implemented remain blocked until the corresponding act is preserved.
- **Status:** pending human access decision."
HR-W011-002,institutional_access,governance/human-reviews/W011-p1-admin-procedure.md,HR-W011-002,"registry-derived dates were located, but the original authorization/recognition act texts remain absent.",pending human access decision.,"registry-derived dates were located, but the original authorization/recognition act texts remain absent.",transition dates remain qualified by evidence class until primary acts are preserved; P2 must retain this limitation.,,,"## HR-W011-002 — Original creation and recognition acts

- **Related gap:** registry-derived dates were located, but the original authorization/recognition act texts remain absent.
- **Why agent work is insufficient:** older acts may require archive or e-MEC/UFPR authenticated access, and registry summaries do not reproduce the act's terms.
- **Human action/question:** can UFPR archives or an authorized e-MEC user provide the original course-creation, authorization, and recognition acts and related opinions?
- **Required response provenance:** issuing body, act number/date, process, original file, access path, and custodian.
- **Gate consequence:** transition dates remain qualified by evidence class until primary acts are preserved; P2 must retain this limitation.
- **Status:** pending human access decision."
HR-W011-003,institutional_access,governance/human-reviews/W011-p1-admin-procedure.md,HR-W011-003,no matched-universe series covers final filled seats after all calls or comparable cutoff scores.,pending human data-access decision.,no matched-universe series covers final filled seats after all calls or comparable cutoff scores.,no occupancy or comparable cutoff argument may be made until matched data are obtained; public negative-search status remains valid.,,,"## HR-W011-003 — Comparable final occupancy and cutoff data

- **Related gap:** no matched-universe series covers final filled seats after all calls or comparable cutoff scores.
- **Why agent work is insufficient:** public fragments use different processes, categories, calls, and denominators.
- **Human action/question:** can NC/PROGRAP provide process-level offered seats and final enrolled/occupied seats after all calls by admission route and year, plus cutoff definitions by category?
- **Required response provenance:** data dictionary, extraction date, process/category universe, call cutoff, denominator, and responsible unit.
- **Gate consequence:** no occupancy or comparable cutoff argument may be made until matched data are obtained; public negative-search status remains valid.
- **Status:** pending human data-access decision."
curriculos/2011/inventario/buscas-negativas.csv:NS-001,public_documentary,curriculos/2011/inventario/buscas-negativas.csv,NS-001,37 coded components,recorded search; see original result and limits,One CI241 Ficha 1 located in a 2025 multi-course PDF; applicability indeterminate. No dated/versioned Ficha 1 applicable to 2011 located for any target.,,2026-09-04,web.inf.ufpr.br; ementario.ufpr.br; bio.ufpr.br,"{""accessed_at"": ""2026-09-04"", ""domains"": ""web.inf.ufpr.br; ementario.ufpr.br; bio.ufpr.br"", ""limits"": ""Public official web and current Ementário only; no authenticated SIGA/SEI repositories; result does not establish nonexistence."", ""result"": ""One CI241 Ficha 1 located in a 2025 multi-course PDF; applicability indeterminate. No dated/versioned Ficha 1 applicable to 2011 located for any target."", ""search_id"": ""NS-001"", ""targets"": ""37 coded components"", ""terms"": ""\""Ficha 1\"" plus each of CI241 CI055 CM201 CM045 BA040 CI243 CI056 CI067 CM005 BQ005 CI244 CI057 CI166 BQ054 BC056 CI215 CI062 CE003 CI164 BF075 BG054 CI162 CI065 CI171 CI316 MN127 CI167 CI209 CI218 CI394 MN128 CI220 CI221 CI169 CI172 MN129 CI262""}"
curriculos/2011/inventario/buscas-negativas.csv:NS-002,public_documentary,curriculos/2011/inventario/buscas-negativas.csv,NS-002,37 coded components and four elective slots,recorded search; see original result and limits,No Ficha 2 with a term and class traceable to the 2011 curriculum located.,,2026-09-04,web.inf.ufpr.br; ementario.ufpr.br,"{""accessed_at"": ""2026-09-04"", ""domains"": ""web.inf.ufpr.br; ementario.ufpr.br"", ""limits"": ""Current Ementário pages do not publish Ficha 2; no authenticated systems searched; result does not establish nonexistence."", ""result"": ""No Ficha 2 with a term and class traceable to the 2011 curriculum located."", ""search_id"": ""NS-002"", ""targets"": ""37 coded components and four elective slots"", ""terms"": ""\""Ficha 2\"" plus 96A / component codes""}"
