target_id,target_type,code,w009_target_label,coverage_status,evidence_count,ementa_content_records,ficha1_records,primary_evidence_ids,formal_context_path,applicability_summary,gap_or_note
CI241,coded_component,CI241,Introdução A Sistemas Computacionais,documento_aplicabilidade_indeterminada,2,1,1,EMENTARIO-CI241-2026-09-04|FICHA1-CI241-2025-05-14,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,"A 2025 Ficha 1 contains an ementa, but no preserved evidence links that version to 2011; the current portal record displays 'Não consta'.",Applicable 2011 Ficha 1/version evidence is not preserved.
CI055,coded_component,CI055,Algoritmos E Estruturas De Dados I,evidencia_parcial,1,0,0,EMENTARIO-CI055-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CM201,coded_component,CM201,Calculo Diferencial E Integral I,evidencia_parcial,1,0,0,EMENTARIO-CM201-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CM045,coded_component,CM045,Geometria Analítica,evidencia_parcial,1,0,0,EMENTARIO-CM045-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
BA040,coded_component,BA040,Anatomia Humana Sistêmica,evidencia_parcial,1,0,0,EMENTARIO-BA040-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI243,coded_component,CI243,Fundamentos De Projeto E Arquitetura De Computadores,evidencia_parcial,1,0,0,EMENTARIO-CI243-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI056,coded_component,CI056,Algoritmos E Estruturas De Dados Ii,evidencia_parcial,1,0,0,EMENTARIO-CI056-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI067,coded_component,CI067,Oficina De Computacao,evidencia_parcial,1,0,0,EMENTARIO-CI067-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CM005,coded_component,CM005,Álgebra Linear,evidencia_parcial,1,0,0,EMENTARIO-CM005-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
BQ005,coded_component,BQ005,Introducao A Bioquimica,evidencia_parcial,1,0,0,EMENTARIO-BQ005-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI244,coded_component,CI244,Fundamentos De Redes E Sistemas Distribuidos,evidencia_parcial,1,0,0,EMENTARIO-CI244-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI057,coded_component,CI057,Algoritmos E Estruturas De Dados Iii,evidencia_parcial,1,0,0,EMENTARIO-CI057-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI166,coded_component,CI166,Metodologia Científica,evidencia_parcial,1,0,0,EMENTARIO-CI166-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
BQ054,coded_component,BQ054,Biologia Molecular E Bioinformática,evidencia_parcial,1,0,0,EMENTARIO-BQ054-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
BC056,coded_component,BC056,Fundamentos De Biologia Celular E Tecidual,evidencia_parcial,1,0,0,EMENTARIO-BC056-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI215,coded_component,CI215,Sistemas Operacionais,evidencia_parcial,1,0,0,EMENTARIO-CI215-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI062,coded_component,CI062,Tecnicas Alternativas De Programacao,evidencia_parcial,1,0,0,EMENTARIO-CI062-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CE003,coded_component,CE003,Estatística Ii,evidencia_parcial,1,0,0,EMENTARIO-CE003-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI164,coded_component,CI164,Introdução À Computação Científica,evidencia_parcial,1,0,0,EMENTARIO-CI164-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
BF075,coded_component,BF075,Fisiologia Para Informática Biomédica,evidencia_parcial,1,0,0,EMENTARIO-BF075-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
BG054,coded_component,BG054,Genética E Evolução Para O Curso De Informática Biomédica,evidencia_parcial,1,0,0,EMENTARIO-BG054-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI162,coded_component,CI162,Engenharia De Requisitos,evidencia_parcial,1,0,0,EMENTARIO-CI162-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI065,coded_component,CI065,Algoritmos E Teoria Dos Grafos,evidencia_parcial,1,0,0,EMENTARIO-CI065-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
CI171,coded_component,CI171,Aprendizado De Máquinas,evidencia_parcial,1,0,0,EMENTARIO-CI171-2026-09-04,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,The 2010 act proves the formal target; the current portal page preserves metadata but displays 'Não consta' for Ementa and has indeterminate 2011 validity.,No ementa-bearing Ficha 1 proven applicable to 2011 is preserved.
