id,target,access_date,official_domains_and_systems,queries_or_terms,result,limits
HN001,Original authorization act Resolução 19/10-COUN,2026-09-04,"soc.ufpr.br; ufpr.br; ementario.ufpr.br","\"Resolução 19/10-COUN\"; \"Resolução nº 19/10-COUN\"; \"Informática Biomédica\" criação","The underlying resolution PDF/text was not located; the official Ementário registry was preserved and names the act.",Older COUN material may be unindexed or relocated; not located does not mean not issued.
HN002,Original recognition text Portaria 44/2015,2026-09-04,"in.gov.br; gov.br; ufpr.br; ementario.ufpr.br","\"Portaria 44\" \"Informática Biomédica\"; \"22 de janeiro de 2015\" reconhecimento","The underlying DOU/Portaria text was not located; the official Ementário registry was preserved and names the act.",Search results for Portaria 44 are highly ambiguous across institutions.
HN003,2022 reform minutes and opinions,2026-09-04,"soc.ufpr.br; sei.ufpr.br; ufpr.br; curriculos/2023 preserved sources","\"Informática Biomédica\" \"2022\" CEPE ata parecer; \"Resolução 75/22-CEPE\" parecer ata; process 061269/2022-16; \"Ata 1ª CEPE 02.12.2022\"","Superseded false-negative result: the official SOC minute was located and preserved as H009. It records a favorable opinion and unanimous approval for process 061269/2022-16.",This row remains as an auditable search record rather than a negative claim. The original failure and correction path are retained append-only in governance/errors/W011.md.
HN004,2026 internal-call result naming this proposal,2026-09-04,"ufpr.br; prograd.ufpr.br; proplad.ufpr.br; soc.ufpr.br; sei.ufpr.br","\"Edital 01/2026\" PROGRAP PROPLAD resultado; \"Inteligência Artificial Aplicada à Saúde\" resultado; \"Informática Biomédica\" resultado","No public official result identifying this proposal was located.",A scheduled result is not evidence of publication; internal result may be unindexed.
HN005,2026 NDE Colegiado Setor PROGRAP/PROPLAD or CEPE approval,2026-09-04,"ufpr.br; exatas.ufpr.br; inf.ufpr.br; soc.ufpr.br; sei.ufpr.br","\"Inteligência Artificial Aplicada à Saúde\" colegiado; NDE; setor; CEPE; aprovação","No public decision or approval act naming this proposal was located.",Protected/internal deliberations are outside authorized access.
HN006,2026 UFPR submission and MEC authorization/decision,2026-09-04,"gov.br/mec; gov.br; ufpr.br; sei.ufpr.br","\"Inteligência Artificial Aplicada à Saúde\" MEC; \"Informática Biomédica\" MEC reorganização; Universidades Transformadoras UFPR","No public submission receipt or MEC act specific to the proposal was located.",Program context pages do not identify a course-level authorization.
HN007,2026 proposed 2700-hour matrix components equivalences PPC and staffing guarantees,2026-09-04,"ufpr.br; inf.ufpr.br; exatas.ufpr.br; soc.ufpr.br; sei.ufpr.br","\"2700\" \"Informática Biomédica\"; matriz; PPC; equivalências; docentes; \"Inteligência Artificial Aplicada à Saúde\"","No public proposed matrix component list equivalence table PPC minutes or staffing-guarantee act was located.","The Apêndice B claim of 2700 hours and two requested posts remains proposal content, not a curriculum or staffing act."
HN008,course-specific official Enade result,2026-09-04,"gov.br/inep; gov.br; e-MEC public front","\"Informática Biomédica\" UFPR Enade; CPC; conceito de curso","No preserved official result with a dated course-specific Enade value was located.",The official UFPR registry's undated MEC concept is recorded separately and is not recast as Enade.
HN009,detailed public e-MEC record,2026-09-04,"emec.mec.gov.br; gov.br/mec; UFPR registry","e-MEC Informática Biomédica UFPR; course 96A","The interactive e-MEC public front did not yield a preservable detailed course record during the bounded search.",Interactive controls and access behavior may prevent public capture; this is not an assertion that the e-MEC record does not exist.
HN010,final occupancy after all admission calls,2026-09-04,"servicos.nc.ufpr.br; nc.ufpr.br; ufpr.br; observaevasao.ufpr.br","\"Informática Biomédica\" resultado registro acadêmico chamada; ocupação de vagas; vagas remanescentes","No matched-universe final occupancy result was located.",Candidate lists registration outcomes and nominal vacancies cannot be used as an occupancy proxy.
HN011,comparable cutoff scores or proposed-course demand,2026-09-04,"servicos.nc.ufpr.br; nc.ufpr.br; ufpr.br; gov.br/mec","\"Informática Biomédica\" nota de corte; \"Inteligência Artificial Aplicada à Saúde\" nota de corte; demanda","No comparable official series was located.",The proposed course is not evidenced as an approved offering; cross-course or cross-process figures would require matched methods.
