classification_id,related_gap_ids,axis,subject,status,provenance,reason,current_agent_actionability,new_lead_or_access_criterion
W030-G01,"HR-W009-001;curriculos/2011/inventario/buscas-negativas.csv:NS-001;curriculos/2011/inventario/buscas-negativas.csv:NS-002",curriculum_2011,"Applicable Ficha 1 and term/class-specific Ficha 2 for the 2011 curriculum",deferred_access,"governance/human-reviews/W009-p1-curriculum-2011.md; curriculos/2011/inventario/buscas-negativas.csv; W022-W024 per-code registers","The authorized public surface did not establish a version applicable to curriculum 96A or a complete 2011 term/class set; likely custodians are authenticated institutional archives.","No. Repeating code/title searches cannot establish version applicability or recover protected holdings. This does not cover W030-G14's local-source normalization repair.","An authorized custodian supplies original files with approval/validity or term/class metadata and disclosure provenance."
W030-G02,HR-W009-002,curriculum_2011,"Historical offering-unit confirmation",deferred_access,"governance/human-reviews/W009-p1-curriculum-2011.md; curriculos/2011/inventario/componentes.csv","The observed offering-unit representation is a current portal representation and has no dated 2011 allocation evidence.","No. Current portal data and code continuity are insufficient evidence.","A dated allocation, historical curriculum record, or signed institutional act is supplied by a custodian."
W030-G03,"HR-W010-001;curriculos/2023/inventario/buscas-negativas.csv:N01;curriculos/2023/inventario/buscas-negativas.csv:N03",curriculum_2023,"Ficha 1 versions demonstrably applicable to the 2023 curriculum",deferred_access,"governance/human-reviews/W010-p1-curriculum-2023.md; curriculos/2023/inventario/buscas-negativas.csv; W025 per-target registers","Public searches found no qualifying missing Fichas or formal continuity act; preserved versions remain indeterminate where recorded.","No. A code/title match or a pre-reform Ficha cannot establish applicability.","An authorized custodian supplies approved Ficha 1 files with department, approval date, and validity/applicability statement."
W030-G04,"HR-W010-002;curriculos/2023/inventario/buscas-negativas.csv:N04",curriculum_2023,"Complete term/class-specific Ficha 2 coverage for 2023-2026",deferred_access,"governance/human-reviews/W010-p1-curriculum-2023.md; curriculos/2023/inventario/buscas-negativas.csv; W025 registers","No complete public set identified by term and class; plans may be authenticated departmental material.","No. Existing preserved Ficha 2 versions are already separately structured and cannot fill absent term/class facts.","Authorized course or department export supplies each original with code, class, term, instructor, approval/status, and provenance."
W030-G05,"HR-W010-003;curriculos/2023/inventario/buscas-negativas.csv:N02",curriculum_2023,"Authoritative status of Ementario record v=1225 and its 3000/3200-hour divergence",deferred_access,"governance/human-reviews/W010-p1-curriculum-2023.md; curriculos/2023/fontes/manifesto.csv; curriculos/2023/inventario/buscas-negativas.csv","The exact portal response is preserved, but only the responsible UFPR unit can establish whether it is archival, current, superseded, or defective.","No. The public page is already captured and does not answer its administrative status.","A dated response from the responsible UFPR unit identifying the represented curriculum/version and explanation is supplied."
W030-G06,"HR-W011-001;administracao/historico/buscas-negativas.csv:HN004;administracao/historico/buscas-negativas.csv:HN005;administracao/historico/buscas-negativas.csv:HN006;administracao/historico/buscas-negativas.csv:HN007",proposal_2026,"2026 process file, proposed matrix/PPC/equivalences, staffing acts, and later procedural acts",deferred_access,"governance/human-reviews/W011-p1-admin-procedure.md; administracao/historico/buscas-negativas.csv; dados/extracoes-w029/proposal-2026.json","The repository proves a proposal and preserves its stated fields; the listed process and later-act records were not publicly located and may be internal, restricted, or unindexed.","No. No authorized institutional access or new document lead is present.","An authorized participant or custodian provides the SEI identifier and non-restricted originals with process linkage, disclosure status, and export provenance."
W030-G07,"HR-W011-002;administracao/historico/buscas-negativas.csv:HN001;administracao/historico/buscas-negativas.csv:HN002;administracao/historico/atos-originais/buscas.csv:W016-Q01;administracao/historico/atos-originais/buscas.csv:W016-Q02;administracao/historico/atos-originais/buscas.csv:W016-Q03;administracao/historico/atos-originais/buscas.csv:W016-Q04;administracao/historico/atos-originais/buscas.csv:W016-Q05;administracao/historico/atos-originais/buscas.csv:W016-Q06;administracao/historico/atos-originais/buscas.csv:W016-Q07;administracao/historico/atos-originais/buscas.csv:W016-R01;administracao/historico/w029-atos/buscas.csv:W029-A01;administracao/historico/w029-atos/buscas.csv:W029-A02;administracao/historico/w029-atos/buscas.csv:W029-A03;administracao/historico/w029-atos/buscas.csv:W029-A04;administracao/historico/w029-atos/buscas.csv:W029-A05;administracao/historico/w029-atos/buscas.csv:W029-A06",administrative_history,"Original Resolução 19/10-COUN and original DOU facsimile/text for Portaria 44/2015",new_lead_required,"governance/human-reviews/W011-p1-admin-procedure.md; administracao/historico/buscas-negativas.csv; administracao/historico/atos-originais/buscas.csv; administracao/historico/w029-atos/buscas.csv; governance/handoffs/W016-historical-acts.md","Bounded official-public searches were repeated with distinct precise terms in W016 and W029. W016-Q02 produced the preserved institutional reproduction and W016-Q04 only a non-evidentiary MEC summary lead; neither is an original act. The Portaria reproduction is not the original DOU facsimile, and neither missing original is proven nonexistent.","No. The current public-search lane is exhausted and may not be repeated.","A concrete archive locator, page/process number, official repository identifier, or authorized original supplied by a custodian."
W030-G08,"administracao/historico/buscas-negativas.csv:HN008;administracao/historico/buscas-negativas.csv:HN009;administracao/historico/w029-avaliacoes-admissoes/buscas.csv:W029-EA01,W029-EA02,W029-EA03,W029-EA04,W029-EA05,W029-EA06",administrative_history,"Dated course-specific Enade/CPC result and preservable detailed e-MEC record",not_located_public_search_exhausted,"administracao/historico/buscas-negativas.csv; administracao/historico/w029-avaliacoes-admissoes/buscas.csv; governance/reviews/W029-final-data-recovery.md","W029's distinct official-domain attempts found no qualifying course record; e-MEC and INEP entry points returned HTTP 403 without bypass.","No. Current access does not provide a preservable qualifying record; no bypass is authorized.","A normal authorized public or institutional route yields original course-specific record bytes, identifier, query date, and source metadata."
W030-G09,"HR-W011-003;administracao/historico/buscas-negativas.csv:HN010;administracao/historico/buscas-negativas.csv:HN011",administrative_history,"Matched final occupancy and comparable cutoff data",deferred_access,"governance/human-reviews/W011-p1-admin-procedure.md; administracao/historico/buscas-negativas.csv; administracao/historico/series-complementares.csv","Located public fragments use unmatched years, processes, categories, calls, or denominators and cannot be combined.","No. Derivation from candidate lists, ratios, nominal vacancies, or heterogeneous cutoffs is prohibited.","NC/PROGRAP supplies process/category/call matched offered-seat, final-enrolled/occupied, cutoff-definition, denominator, and extraction metadata."
W030-G10,"administracao/dados/ufpr/w026/buscas.csv:W026-H2-2018-01;administracao/dados/ufpr/w026/buscas.csv:W026-H2-2018-02;administracao/dados/ufpr/w026/buscas.csv:W026-H2-2018-03;administracao/dados/ufpr/w026/buscas.csv:W026-H2-2019-01;administracao/dados/ufpr/w026/buscas.csv:W026-H2-2019-02;administracao/dados/ufpr/w026/buscas.csv:W026-H2-2019-03;administracao/dados/ufpr/w026/buscas.csv:W026-H3-2021-01;administracao/dados/ufpr/w026/buscas.csv:W026-H3-2021-02;administracao/dados/ufpr/w026/buscas.csv:W026-H3-2021-03;administracao/dados/ufpr/w026/buscas.csv:W026-H3-2022-01;administracao/dados/ufpr/w026/buscas.csv:W026-H3-2022-02;administracao/dados/ufpr/w026/buscas.csv:W026-H3-2022-03;administracao/dados/ufpr/w026/buscas.csv:W026-H4-2023-01;administracao/dados/ufpr/w026/buscas.csv:W026-H4-2023-02;administracao/dados/ufpr/w026/buscas.csv:W026-H4-2023-03;administracao/dados/ufpr/w026/buscas.csv:W026-H4-2024-01;administracao/dados/ufpr/w026/buscas.csv:W026-H4-2024-02;administracao/dados/ufpr/w026/buscas.csv:W026-H4-2024-03;administracao/dados/ufpr/w026/buscas.csv:W026-H5-2025-01;administracao/dados/ufpr/w026/buscas.csv:W026-H5-2025-02;administracao/dados/ufpr/w026/buscas.csv:W026-H5-2025-03;administracao/dados/ufpr/w026/buscas.csv:W026-H5-2026-01;administracao/dados/ufpr/w026/buscas.csv:W026-H5-2026-02;administracao/dados/ufpr/w026/buscas.csv:W026-H5-2026-03;administracao/historico/w029-avaliacoes-admissoes/buscas.csv:W029-EA07;administracao/historico/w029-avaliacoes-admissoes/buscas.csv:W029-EA08;administracao/historico/w029-avaliacoes-admissoes/buscas.csv:W029-EA09;administracao/historico/w029-avaliacoes-admissoes/buscas.csv:W029-EA10;administracao/historico/w029-avaliacoes-admissoes/buscas.csv:W029-EA11;administracao/historico/w029-avaliacoes-admissoes/buscas.csv:W029-EA12;administracao/historico/w029-avaliacoes-admissoes/buscas.csv:W029-EA13;administracao/historico/w029-avaliacoes-admissoes/buscas.csv:W029-EA14;administracao/historico/w029-avaliacoes-admissoes/buscas.csv:W029-EA15",administrative_history,"Source-stated aggregate applicant counts and category-only observations",not_located_public_search_exhausted,"administracao/dados/ufpr/w026/buscas.csv; administracao/historico/w029-avaliacoes-admissoes/buscas.csv; governance/handoffs/W026-historical-applicants.md","Thirty W026 attempts and W029 follow-up attempts did not locate a qualifying aggregate count for 2018, 2025, or 2026. The located 2019 and 2021-2024 values are category-specific observations, not missing data repaired by a total: they remain non-comparable and are not summed. Candidate/result lists and category fragments were deliberately not counted or combined.","No. The existing public lane is exhausted; no derived total is admissible.","A new official document lead that expressly states the aggregate course/process universe, or an authorized institutional extract with its data dictionary."
